ID,Año,Título y Medio,Ocasión y Lugar,# representaciones,Última representación,GP compositor,Título,Medio,Ocasión,Lugar,Facebook live,Universidad de Chile,# Intérpretes GP H,# Intérpretes GP M,# Intérpretes GP ND
RMCh238_001,2022,Alen para guitarra,"II Ciclo de Guitarra Clásica de la Fundación Guitarra Viva Ernesto Quezada Bouey, Teatro Aula Magna USACH",1,2022-05-04,male,Alen,guitarra,II Ciclo de Guitarra Clásica de la Fundación Guitarra Viva Ernesto Quezada Bouey,Teatro Aula Magna USACH,False,False,1.0,0.0,0.0
RMCh238_002,2022,Alen para guitarra,"Concierto “Hoja de álbum”, Facultad de Artes de la Universidad de Chile, Sala Isidora Zegers",1,2022-09-21,male,Alen,guitarra,Concierto “Hoja de álbum”,Facultad de Artes de la Universidad de Chile,False,True,1.0,0.0,0.0
RMCh238_003,2022,Alen para guitarra,"2° Seminario de Guitarra de la Universidad de Chile. Salón de Honor, Casa Central de la Universidad de Chile",1,2022-08-23,male,Alen,guitarra,2° Seminario de Guitarra de la Universidad de Chile. Salón de Honor,Casa Central de la Universidad de Chile,False,True,1.0,0.0,0.0
RMCh238_004,2022,"Sonatina para guitarra (I. Andante, II. Vivo)","II Ciclo de Guitarra Clásica de la Fundación Guitarra Viva Ernesto Quezada Bouey, Teatro Aula Magna USACH",1,2022-05-04,male,Sonatina,"guitarra (I. Andante, II. Vivo)",II Ciclo de Guitarra Clásica de la Fundación Guitarra Viva Ernesto Quezada Bouey,Teatro Aula Magna USACH,False,False,1.0,0.0,0.0
RMCh238_005,2022,"Sonatina para guitarra (I. Andante, II. Vivo)","Concierto “Hoja de álbum”, Facultad de Artes de la Universidad de Chile, Sala Isidora Zegers",1,2022-09-21,male,Sonatina,"guitarra (I. Andante, II. Vivo)",Concierto “Hoja de álbum”,Facultad de Artes de la Universidad de Chile,False,True,1.0,0.0,0.0
RMCh238_006,2022,"Sonatina para guitarra (I. Andante, II. Vivo)","2° Seminario de Guitarra de la Universidad de Chile. Salón de Honor, Casa Central de la Universidad de Chile",1,2022-08-23,male,Sonatina,"guitarra (I. Andante, II. Vivo)",2° Seminario de Guitarra de la Universidad de Chile. Salón de Honor,Casa Central de la Universidad de Chile,False,True,1.0,0.0,0.0
RMCh238_007,2022,Sueño primaveral para guitarra,"Concierto “Hoja de álbum”, Facultad de Artes de la Universidad de Chile, Sala Isidora Zegers",1,2022-09-21,male,Sueño primaveral,guitarra,Concierto “Hoja de álbum”,Facultad de Artes de la Universidad de Chile,False,True,1.0,0.0,0.0
RMCh238_008,2022,Sueño primaveral para guitarra,"2° Seminario de Guitarra de la Universidad de Chile. Salón de Honor, Casa Central de la Universidad de Chile",1,2022-08-23,male,Sueño primaveral,guitarra,2° Seminario de Guitarra de la Universidad de Chile. Salón de Honor,Casa Central de la Universidad de Chile,False,True,1.0,0.0,0.0
RMCh238_009,2022,Homenaje* para clarinete solo,"Concierto “Nuevas composiciones chilenas para clarinete y piano”, Facultad de Artes de la Universidad de Chile, Sala Isidora Zegers",1,2022-09-07,male,Homenaje*,clarinete solo,Concierto “Nuevas composiciones chilenas para clarinete y piano”,Facultad de Artes de la Universidad de Chile,False,True,1.0,0.0,0.0
RMCh238_010,2022,Trote tarapaqueño para coro (Arr. Eduardo Torres),"Concierto Coro polifónico integral USACH: Homenaje coral a Calatambo Albarracín, hijo de la pampa calichera, Teatro Aula Magna USACH",1,2022-05-31,unknown,Trote tarapaqueño,coro (Arr. Eduardo Torres),Concierto Coro polifónico integral USACH: Homenaje coral a Calatambo Albarracín,hijo de la pampa calichera,False,False,1.0,2.0,1.0
RMCh238_011,2022,Huachitorito (recopilación) para coro,"Concierto Coro polifónico integral USACH: Homenaje coral a Calatambo Albarracín, hijo de la pampa calichera, Teatro Aula Magna USACH",1,2022-05-31,unknown,Huachitorito (recopilación),coro,Concierto Coro polifónico integral USACH: Homenaje coral a Calatambo Albarracín,hijo de la pampa calichera,False,False,2.0,1.0,1.0
RMCh238_012,2022,Trote del burrito para coro (Arr. Norma Segovia),"Concierto Coro polifónico integral USACH: Homenaje coral a Calatambo Albarracín, hijo de la pampa caliche ra, Teatro Aula Magna USACH",1,2022-05-31,unknown,Trote del burrito,coro (Arr. Norma Segovia),Concierto Coro polifónico integral USACH: Homenaje coral a Calatambo Albarracín,hijo de la pampa caliche ra,False,False,1.0,2.0,0.0
RMCh238_013,2022,Tamboril en La Tirana para coro (Arr. Gonzalo Calle),"Concierto Coro polifónico integral USACH: Homenaje coral a Calatambo Albarracín, hijo de la pampa calichera, Teatro Aula Magna USACH",1,2022-05-31,unknown,Tamboril en La Tirana,coro (Arr. Gonzalo Calle),Concierto Coro polifónico integral USACH: Homenaje coral a Calatambo Albarracín,hijo de la pampa calichera,False,False,1.0,1.0,2.0
